id,title,category,subcategory,description,capacity,accuracy,standards,power,warranty,display,control,resolution,scale,price_hint,image
FG-82BF6C1C,Computerized Tensile Testing Machine,Tensile Tester,Computerised,"Computerized Tensile Testing Machine - Windows software; auto calculations (UTS, YS, proof); load cell; load res. 10k counts (20k optional); disp. res. 0.1 mm...",Various,±1%,IS:1828|BS:1610,220V AC,2 years,Touch Screen,Computerised,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-2E9F3CFD,Dynamic Balancing Machine - Horizontal,Balancing Machine,"Hard bearing, end-driven, two-plane","Dynamic Balancing Machine - Horizontal - Microprocessor/DSP panel; additional bed length/center height options; rotors 0.5â€“10,000 kg (belt type up to 3000 kg); accuracy to 0.5 Âµm...",Various,±1%,IS:13277-1992,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-91052DC2,Dynamic Balancing Machine - Vertical,Balancing Machine,"Hard bearing, single-plane",Dynamic Balancing Machine - Vertical - Microprocessor/DSP panel with auto compensation; rotors 0.3â€“300 kg; accuracy to 0.5 Âµm...,Various,±1%,IS:13277-1992,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-2E65AA38,DSP Based Dynamic Balancing Machines,Balancing Machine,"DSP, all-digital",DSP Based Dynamic Balancing Machines - 32-bit DSP; auto calibration; RS-232/USB; thermal printer optional; rotor programs up to 100; low power...,Various,±1%,,220V AC,2 years,Digital,Digital,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-C7914C69,Strobo-Dynamic Balancing Machine,Balancing Machine,Stroboscopic,Strobo-Dynamic Balancing Machine - Electrodynamic pickups; digital amount + xenon flash position; rotors 0.1â€“3 kg; 800â€“3000 rpm; ~0.2 Âµm accuracy...,Various,±1%,,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-08E7F52F,Belt Driven Dynamic Balancing Machine - Horizontal,Balancing Machine,"Belt-driven, two-plane",Belt Driven Dynamic Balancing Machine - Horizontal - Photo scanning reference; 300â€“3000 rpm; rotors 10â€“3000 kg; accuracy up to 0.5 Âµm...,Various,±1%,IS:13277-1992,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-D6DF0F8B,Digital Rockwell / Rockwell cum Brinell,Hardness Tester,"Digital, motorized, microprocessor-based",Digital Rockwell / Rockwell cum Brinell - Large LCD; three modes (auto/semi/manual); auto weight selection; RS-232 + printer; Rockwell LC 0.1 HR; conforms IS:1586-2000 etc....,Various,±1%,IS:1586-2000|BSEN-ISO-6508-2|ASTM E18; IS:2281-2005|BS:240|ASTM E10 (Brinell),220V AC,2 years,Digital,Digital,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-80AD0AB6,Digital Rockwell cum Rockwell Superficial,Hardness Tester,Digital,"Digital Rockwell cum Rockwell Superficial - LCD; auto/semi/manual; auto weight; RS-232 + printer; LC 0.1 HR (Rockwell), 0.2 HR (Superficial)...",Various,±1%,IS:1586-2000|BSEN-ISO-6508-2|ASTM E18,220V AC,2 years,Digital,Digital,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-466724CF,Rockwell cum Brinell Hardness Tester,Hardness Tester,Mechanical (motorized optional),"Rockwell cum Brinell Hardness Tester - Rockwell: 10 kgf minor, 60/100/150 kgf major; Brinell: 187.5/250 kgf (per model); test heightÃ—throat 215Ã—132 or 295Ã—148 mm...",Various,±1%,IS:1586-2000; IS:2281|BS:240|ASTM E10,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-D3FDD90A,Standard Rockwell Hardness Tester,Hardness Tester,Mechanical (motorized optional),Standard Rockwell Hardness Tester - Minor 10 kgf; major 60/100/150 kgf; test heightÃ—throat 215Ã—132 mm (295Ã—148 mm for MRS-150)...,Various,±1%,IS:1586-2000,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-57E5ADFA,Rockwell cum Rockwell Superficial,Hardness Tester,Mechanical (motorized optional),Rockwell cum Rockwell Superficial - Superficial: minor 3 kgf; major 15/30/45 kgf; Rockwell: minor 10 kgf; major 60/100/150 kgf...,Various,±1%,IS:1586-2000|ASTM E18,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-7302BD03,Latest Standard Rockwell Hardness Tester,Hardness Tester,Mechanical (improved design),Latest Standard Rockwell Hardness Tester - Linear bearing guided indenter; toughened main screw; large front dial; test heightÃ—throat 220Ã—133 mm; Siemens Gray...,Various,±1%,IS:1586-2000,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-50B16C4F,Digital Fatigue Testing Machine,Fatigue Tester,Rotating beam,Digital Fatigue Testing Machine - Table model; 8 mm specimen; 4200 rpm; moment 25â€“200 kgcm (400 kgcm optional); auto stop on failure; accuracy Â±1% moment...,Various,±1%,IS:5075-1969,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-73B807C9,Digital Torsion Testing Machine,Torsion Tester,Digital,Digital Torsion Testing Machine - Torque cell + rotary encoder; torque res. 0.01% capacity; angle res. 0.1Â°; accuracy Â±1% (4â€“100%); reverse 1.5 rpm; 100â€“3000 Nm...,Various,±1%,,220V AC,2 years,Digital,Digital,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-5189E8AE,Portable Rockwell Hardness Tester,Hardness Tester,Portable,Portable Rockwell Hardness Tester - Test heightÃ—throat 110Ã—55 mm; works in any direction; conforms to IS:1586...,Various,±1%,IS:1586-2000,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-FC0D7549,Erichsen Cupping Testing Machine,Sheet Metal Tester,Manual Cupping,Erichsen Cupping Testing Machine - Sample 70Ã—90 mm; max thickness 2 mm; per IS:10175-1982...,Various,±1%,IS:10175-1982,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-625015E5,ASTM & ISO Pendulum Impact Tester,Impact Tester,Pendulum (Charpy),ASTM & ISO Pendulum Impact Tester - 300 J; analogue LC 2 J / digital 0.5 J; pendulum 140Â°; safety guard; spring braking; combined model optional...,Various,±1%,ASTM E23-2007|BSEN-ISO 148-2-2008,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-F0A1EABD,Jominy Test Fixture,Hardenability,Fixture,Jominy Test Fixture - For 25 mm Ã— 100 mm specimen; used with hardness tester; check hardness at 1 mm intervals...,Various,±1%,IS:3848-1981|ASTM A255,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-B20FF37F,End Quench Test Apparatus,Hardenability,End-quench rig,End Quench Test Apparatus - Automatic centering; pump/tank; nozzle-waterhead per spec; pipe ID 12.5Â±0.5 mm; jet height 65Â±10 mm; nozzle gap 12.5Â±0.5 mm...,Various,±1%,IS:3848-1981|ASTM A255,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-252E99F7,Portable Dynamic Hardness Tester,Hardness Tester,Portable Leeb-type,Portable Dynamic Hardness Tester - Material/scale conversion; runs on pencil cells; 30 hardness scales; LCD; store up to 999 readings; centronics printer; RS-232 optional; multiple probes...,Various,±1%,,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-2566A7DB,Electronic Extensometer,Extensometer,Electronic,Electronic Extensometer - Range up to 5 mm; resolution 0.001 mm; gauge lengths 25 & 50 mm (others optional); Class-1 accuracy per IS:12872-1990...,Various,±1%,IS:12872-1990,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-8C3524B5,Brinell Hardness Tester,Hardness Tester,Brinell (dead-weight),Brinell Hardness Tester - Loads 500â€“3000 kgf (250 kgf steps); test heightÃ—throat 380Ã—200 mm; microscope 25X; accuracy per IS:2281-2005...,Various,±1%,IS:2281-2005|BS:240,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-1F945D99,Optical Brinell Hardness Tester,Hardness Tester,Optical (direct measurement),Optical Brinell Hardness Tester - Inbuilt 14X optics; automatic indenter index; loads 500â€“3000 kgf; direct 0.01 mm measurement; test heightÃ—throat 380Ã—200 mm...,Various,±1%,IS:2281-2005|BS:240,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-90AD7866,Computerised Optical Brinell,Hardness Tester,Computerised Optical (CCD),"Computerised Optical Brinell - 16X CCD; manual/auto; batch, stats, calibration; windowing; password; special fixtures optional...",Various,±1%,IS:2281-2005|BS:240,220V AC,2 years,Touch Screen,Computerised,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-4463B459,Computerized Brinell with Inbuilt Industrial PC,Hardness Tester,Computerised (Touchscreen IPC),"Computerized Brinell with Inbuilt Industrial PC - Dead-weight; 500â€“3000 kgf; 16X image on touch PC; batch testing, stats, certificates; auto index system...",Various,±1%,,220V AC,2 years,Touch Screen,Computerised,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-CFDD436F,Pendulum Impact Tester (Charpy/Izod),Impact Tester,Analogue & Digital,Pendulum Impact Tester (Charpy/Izod) - Charpy 300 J; Izod 170 J; analogue LC 2 J; digital 0.5 J; pendulum 140Â° (Charpy) / 90Â° (Izod)...,Various,±1%,IS:3766-2003|IS:1598-1977|IS:1757-1999|IS:1499-2003; BS:131; BS EN 10045,220V AC,2 years,Analog,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-649851B5,Manual & Motorised Notch Broaching Machine,Impact Accessories,Notch Cutter,Manual & Motorised Notch Broaching Machine - Cuts V/U notches via multi-tooth broach in single pass; hand vice; depth adjusters; motorized version available...,Various,±1%,,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-1D31D286,Digital Brinell Microscope,Hardness Accessory,Digital Optical (PC),Digital Brinell Microscope - PC-based indentation display; software auto-calculates BHN; conforms to IS:2281...,Various,±1%,IS:2281,220V AC,2 years,Digital,Digital,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
